model,class,precision,recall,f1,support
RF,CHUNK_CANONICAL_BASE,0.9286,0.3584,0.5172,1197
RF,CHUNK_CANONICAL_OURS,0.8648,0.9309,0.8966,104231
RF,CHUNK_CANONICAL_THEIRS,0.6384,0.555,0.5938,13662
RF,CHUNK_NONCANONICAL,0.5796,0.4586,0.512,18815
RF,CHUNK_SEMICANONICAL_OTHERS,0.6485,0.1198,0.2023,893
RF,CHUNK_SEMICANONICAL_OURSTHEIRS,0.7861,0.3153,0.4501,1329
KNN,CHUNK_CANONICAL_BASE,0.4669,0.3885,0.4241,1197
KNN,CHUNK_CANONICAL_OURS,0.8533,0.8712,0.8622,104231
KNN,CHUNK_CANONICAL_THEIRS,0.595,0.456,0.5163,13662
KNN,CHUNK_NONCANONICAL,0.3097,0.3421,0.3251,18815
KNN,CHUNK_SEMICANONICAL_OTHERS,0.2326,0.0862,0.1258,893
KNN,CHUNK_SEMICANONICAL_OURSTHEIRS,0.3797,0.3243,0.3498,1329
SRC,CHUNK_CANONICAL_BASE,0.1081,0.4921,0.1773,1197
SRC,CHUNK_CANONICAL_OURS,0.8554,0.7182,0.7808,104231
SRC,CHUNK_CANONICAL_THEIRS,0.3325,0.4004,0.3633,13662
SRC,CHUNK_NONCANONICAL,0.3364,0.3387,0.3376,18815
SRC,CHUNK_SEMICANONICAL_OTHERS,0.0326,0.2688,0.0582,893
SRC,CHUNK_SEMICANONICAL_OURSTHEIRS,0.1081,0.3597,0.1662,1329
WSRC,CHUNK_CANONICAL_BASE,0.0227,0.5171,0.0435,1197
WSRC,CHUNK_CANONICAL_OURS,0.7672,0.6573,0.708,104231
WSRC,CHUNK_CANONICAL_THEIRS,0.311,0.1921,0.2375,13662
WSRC,CHUNK_NONCANONICAL,0.3065,0.1152,0.1674,18815
WSRC,CHUNK_SEMICANONICAL_OTHERS,0.01,0.0728,0.0176,893
WSRC,CHUNK_SEMICANONICAL_OURSTHEIRS,0.0803,0.0948,0.087,1329
