project,chunks,merges,alpha_used,dict_size,knn_k,RF_accuracy,SRC_accuracy,WSRC_accuracy,KNN_accuracy,RF_f1,SRC_f1,WSRC_f1,KNN_f1,RF_NI,SRC_NI,WSRC_NI,KNN_NI,RF_zeror,best_model,time_s
CCI-MIT/XCoLab,9323,333,0.01,500,21,0.532,0.328,0.3576,0.3632,0.4995,0.327,0.3651,0.3803,-0.3808,-0.8386,-0.8386,-0.784,0.5859,RF,967.5
CloudStack-extras/CloudStack-archive,1223,128,0.01,500,5,0.7133,0.5632,0.3984,0.647,0.7122,0.5642,0.3215,0.6484,0.5418,0.3056,0.0379,0.4386,0.3735,RF,65.0
TeamDev-Archive/OpenFaces,3914,176,0.01,500,21,0.7633,0.4193,0.6003,0.7119,0.7367,0.4454,0.6064,0.7046,-0.7156,-2.7829,-1.8366,-1.0346,0.8474,RF,318.4
TelluIoT/ThingML,1130,52,0.01,500,3,0.4211,0.2179,0.1705,0.4496,0.416,0.2194,0.1851,0.4267,-2.0201,-3.5133,-3.7477,-2.7444,0.768,KNN,32.7
Unidata/thredds,1391,130,0.01,500,11,0.5702,0.4727,0.5296,0.5864,0.5153,0.4557,0.3858,0.5439,0.1046,-0.0876,0.0211,0.146,0.5124,KNN,111.8
alkacon/opencms-core,1726,43,0.01,500,21,0.7429,0.5248,0.5472,0.8148,0.725,0.5486,0.5424,0.7669,-0.6275,-1.7459,-1.522,-0.1365,0.8234,KNN,111.0
aosp-mirror/platform_frameworks_base,84514,4500,0.01,500,21,0.9128,0.7165,0.5036,0.8624,0.9109,0.7576,0.612,0.8597,0.4617,-0.7453,-2.0336,0.1516,0.8357,RF,10303.3
apache/accumulo,14848,1788,0.01,500,21,0.7111,0.5539,0.6593,0.661,0.6696,0.5798,0.5422,0.634,0.1351,-0.3111,-0.0144,-0.0063,0.6503,RF,1486.2
apache/lucene-solr,2326,285,0.01,500,21,0.4937,0.3798,0.3325,0.4504,0.4839,0.3729,0.2095,0.445,0.2033,0.0278,-0.0431,0.1353,0.3632,RF,217.5
eucalyptus/eucalyptus,3153,577,0.01,500,15,0.5079,0.4447,0.4629,0.4753,0.4479,0.4354,0.3283,0.4631,-0.0428,-0.1791,-0.1413,-0.1007,0.513,RF,307.9
getrailo/railo,1001,156,0.01,500,1,0.4808,0.5092,0.5427,0.4053,0.4689,0.4787,0.3944,0.4153,-0.2181,-0.1879,-0.1058,-0.3989,0.5782,WSRC,45.1
hibernate/hibernate-orm,2707,145,0.01,500,11,0.6384,0.5423,0.5834,0.5617,0.6018,0.5097,0.4464,0.5372,0.1674,-0.0645,0.0271,-0.015,0.5423,RF,256.7
hyphanet/fred,1425,260,0.01,500,21,0.5171,0.4319,0.4826,0.4207,0.4739,0.4195,0.3374,0.4093,0.0186,-0.1547,-0.0549,-0.1771,0.5028,RF,85.2
jgralab/jgralab,2537,99,0.01,500,11,0.7817,0.5635,0.5009,0.6993,0.7702,0.5792,0.44,0.7054,0.2283,-0.3641,-0.7202,0.0659,0.6572,RF,202.9
wro4j/wro4j,2215,351,0.01,500,7,0.6405,0.4549,0.4923,0.5674,0.6244,0.4593,0.3617,0.5526,0.3249,-0.0238,0.0454,0.1867,0.4677,RF,144.8
zkoss/zk,6694,675,0.01,500,7,0.8135,0.5514,0.7219,0.7049,0.7792,0.5947,0.6356,0.6943,0.3172,-0.6375,-0.0218,-0.0725,0.7241,RF,580.7
