project,proj_short,zeror,RF,RF_balanced,WSRC_class,WSRC_uniform,SRC,KNN
CCI-MIT/XCoLab,XCoLab,0.5948728949908828,0.28306,0.28306,0.21218000000000004,0.12838,,
CloudStack-extras/CloudStack-archive,CloudStack-archive,0.37530662305805396,0.3313,0.3313,0.22634000000000004,0.28634,,
TeamDev-Archive/OpenFaces,OpenFaces,0.8495145631067961,0.58484,0.58484,0.47913999999999995,0.42044000000000004,,
TelluIoT/ThingML,ThingML,0.8283185840707965,0.17346,0.17346,0.1389,0.17465999999999998,,
Unidata/thredds,thredds,0.5104241552839683,0.32087999999999994,0.32087999999999994,0.19,0.28803999999999996,,
alkacon/opencms-core,opencms-core,0.828505214368482,0.23248000000000002,0.23248000000000002,0.10794,0.14246,,
aosp-mirror/platform_frameworks_base,platform_frameworks_base,0.8357431904773174,0.67604,0.67604,0.5043,0.5605800000000001,,
apache/accumulo,accumulo,0.6493130387931034,0.47274000000000005,0.47274000000000005,0.13694,0.32158,,
apache/lucene-solr,lucene-solr,0.3581255374032674,0.28378,0.28378,0.16965999999999998,0.28888,,
eucalyptus/eucalyptus,eucalyptus,0.5176022835394862,0.33286000000000004,0.33286000000000004,0.1416,0.27314,,
getrailo/railo,railo,0.5824175824175825,0.24512,0.24512,0.15784000000000004,0.31464,,
hibernate/hibernate-orm,hibernate-orm,0.5378647949759882,0.5309200000000001,0.5309200000000001,0.2549,0.36635999999999996,,
hyphanet/fred,fred,0.503859649122807,0.29036,0.29036,0.18116000000000002,0.22212,,
jgralab/jgralab,jgralab,0.6716594402837998,0.35969999999999996,0.35969999999999996,0.22261999999999998,0.30667999999999995,,
wro4j/wro4j,wro4j,0.46772009029345374,0.34564,0.34564,0.20251999999999998,0.30078000000000005,,
zkoss/zk,zk,0.7245294293397072,0.6291399999999999,0.6291399999999999,0.22664,0.36288,,
