project,proj_short,zeror,RF,RF_balanced,WSRC_class,WSRC_uniform,SRC,KNN
CCI-MIT/XCoLab,XCoLab,0.5948728949908828,0.532,0.53894,0.3576,0.32796,0.328,0.3632
CloudStack-extras/CloudStack-archive,CloudStack-archive,0.37530662305805396,0.7133,0.71404,0.3984,0.5631999999999999,0.5632,0.647
TeamDev-Archive/OpenFaces,OpenFaces,0.8495145631067961,0.7633,0.7737200000000001,0.6003,0.41925999999999997,0.4193,0.7119
TelluIoT/ThingML,ThingML,0.8283185840707965,0.4211,0.38736000000000004,0.1705,0.21793999999999997,0.2179,0.4496
Unidata/thredds,thredds,0.5104241552839683,0.5702,0.54928,0.5296,0.47268,0.4727,0.5864
alkacon/opencms-core,opencms-core,0.828505214368482,0.7429,0.75838,0.5472,0.52482,0.5248,0.8148
aosp-mirror/platform_frameworks_base,platform_frameworks_base,0.8357431904773174,0.9128,0.90488,0.5036,0.7165199999999999,0.7165,0.8624
apache/accumulo,accumulo,0.6493130387931034,0.7111,0.71408,0.6593,0.5539,0.5539,0.661
apache/lucene-solr,lucene-solr,0.3581255374032674,0.4937,0.49728000000000006,0.3325,0.37982,0.3798,0.4504
eucalyptus/eucalyptus,eucalyptus,0.5176022835394862,0.5079,0.49618,0.4629,0.4447,0.4447,0.4753
getrailo/railo,railo,0.5824175824175825,0.4808,0.47294,0.5427,0.50918,0.5092,0.4053
hibernate/hibernate-orm,hibernate-orm,0.5378647949759882,0.6384,0.64544,0.5834,0.54226,0.5423,0.5617
hyphanet/fred,fred,0.503859649122807,0.5171,0.5206,0.4826,0.43192,0.4319,0.4207
jgralab/jgralab,jgralab,0.6716594402837998,0.7817,0.79242,0.5009,0.56348,0.5635,0.6993
wro4j/wro4j,wro4j,0.46772009029345374,0.6405,0.64584,0.4923,0.45494,0.4549,0.5674
zkoss/zk,zk,0.7245294293397072,0.8135,0.78208,0.7219,0.55144,0.5514,0.7049
