project,chunks,merges,accuracy,zeror,f1,precision,recall,NI
CCI-MIT/XCoLab,9323,333,0.532,0.5859,0.4995,0.6116,0.532,-0.3808
CloudStack-extras/CloudStack-archive,1223,128,0.7133,0.3735,0.7122,0.7565,0.7133,0.5418
TeamDev-Archive/OpenFaces,3914,176,0.7633,0.8474,0.7367,0.733,0.7633,-0.7156
TelluIoT/ThingML,1130,52,0.4211,0.768,0.416,0.5701,0.4211,-2.0201
Unidata/thredds,1391,130,0.5702,0.5124,0.5153,0.5312,0.5702,0.1046
alkacon/opencms-core,1726,43,0.7429,0.8234,0.725,0.8271,0.7429,-0.6275
aosp-mirror/platform_frameworks_base,84514,4500,0.9128,0.8357,0.9109,0.9154,0.9128,0.4617
apache/accumulo,14848,1788,0.7111,0.6503,0.6696,0.6986,0.7111,0.1351
apache/lucene-solr,2326,285,0.4937,0.3632,0.4839,0.5142,0.4937,0.2033
eucalyptus/eucalyptus,3153,577,0.5079,0.513,0.4479,0.4637,0.5079,-0.0428
getrailo/railo,1001,156,0.4808,0.5782,0.4689,0.5228,0.4808,-0.2181
hibernate/hibernate-orm,2707,145,0.6384,0.5423,0.6018,0.6288,0.6384,0.1674
hyphanet/fred,1425,260,0.5171,0.5028,0.4739,0.4868,0.5171,0.0186
jgralab/jgralab,2537,99,0.7817,0.6572,0.7702,0.8421,0.7817,0.2283
wro4j/wro4j,2215,351,0.6405,0.4677,0.6244,0.6249,0.6405,0.3249
zkoss/zk,6694,675,0.8135,0.7241,0.7792,0.7783,0.8135,0.3172
