project,alpha,max_per_class,weight_method,accuracy,zeror,f1,NI,time_s
getrailo/railo,0.001,100,similarity,0.3334,0.5782,0.3649,-0.5749,11.4
getrailo/railo,0.001,100,class,0.3875,0.5782,0.3423,-0.4441,14.0
getrailo/railo,0.001,100,uniform,0.3395,0.5782,0.3661,-0.5606,15.0
getrailo/railo,0.001,200,similarity,0.3702,0.5782,0.3962,-0.4823,17.6
getrailo/railo,0.001,200,class,0.4126,0.5782,0.323,-0.3829,22.1
getrailo/railo,0.001,200,uniform,0.3778,0.5782,0.3863,-0.4652,23.2
getrailo/railo,0.001,500,similarity,0.3949,0.5782,0.4015,-0.4222,24.0
getrailo/railo,0.001,500,class,0.4256,0.5782,0.3146,-0.3503,32.0
getrailo/railo,0.001,500,uniform,0.3963,0.5782,0.3512,-0.4201,33.2
getrailo/railo,0.001,1000,similarity,0.3993,0.5782,0.4063,-0.4114,24.1
getrailo/railo,0.001,1000,class,0.4205,0.5782,0.3115,-0.3629,32.2
getrailo/railo,0.001,1000,uniform,0.3953,0.5782,0.3527,-0.4232,33.1
getrailo/railo,0.001,2000,similarity,0.3993,0.5782,0.4063,-0.4114,24.2
getrailo/railo,0.001,2000,class,0.4205,0.5782,0.3115,-0.3629,32.2
getrailo/railo,0.001,2000,uniform,0.3953,0.5782,0.3527,-0.4232,32.9
getrailo/railo,0.01,100,similarity,0.4176,0.5782,0.4285,-0.4114,6.0
getrailo/railo,0.01,100,class,0.5089,0.5782,0.4146,-0.1904,7.8
getrailo/railo,0.01,100,uniform,0.4331,0.5782,0.446,-0.3762,9.3
getrailo/railo,0.01,200,similarity,0.4845,0.5782,0.486,-0.2477,9.2
getrailo/railo,0.01,200,class,0.5312,0.5782,0.4006,-0.1341,12.3
getrailo/railo,0.01,200,uniform,0.483,0.5782,0.4838,-0.2502,14.9
getrailo/railo,0.01,500,similarity,0.5278,0.5782,0.5089,-0.1424,12.6
getrailo/railo,0.01,500,class,0.5427,0.5782,0.3944,-0.1058,18.9
getrailo/railo,0.01,500,uniform,0.5092,0.5782,0.4787,-0.1879,22.0
getrailo/railo,0.01,1000,similarity,0.5266,0.5782,0.5077,-0.1453,12.5
getrailo/railo,0.01,1000,class,0.5427,0.5782,0.3944,-0.1058,19.0
getrailo/railo,0.01,1000,uniform,0.5055,0.5782,0.475,-0.1968,22.1
getrailo/railo,0.01,2000,similarity,0.5266,0.5782,0.5077,-0.1453,12.5
getrailo/railo,0.01,2000,class,0.5427,0.5782,0.3944,-0.1058,19.1
getrailo/railo,0.01,2000,uniform,0.5055,0.5782,0.475,-0.1968,22.2
getrailo/railo,0.05,100,similarity,0.4241,0.5782,0.4364,-0.3969,4.4
getrailo/railo,0.05,100,class,0.5061,0.5782,0.4017,-0.198,4.8
getrailo/railo,0.05,100,uniform,0.4098,0.5782,0.4187,-0.4323,6.2
getrailo/railo,0.05,200,similarity,0.4722,0.5782,0.4739,-0.2778,5.0
getrailo/railo,0.05,200,class,0.5116,0.5782,0.3826,-0.1836,8.5
getrailo/railo,0.05,200,uniform,0.4678,0.5782,0.4657,-0.2873,9.5
getrailo/railo,0.05,500,similarity,0.514,0.5782,0.4961,-0.1773,5.9
getrailo/railo,0.05,500,class,0.5202,0.5782,0.3812,-0.1623,13.6
getrailo/railo,0.05,500,uniform,0.5017,0.5782,0.471,-0.2064,12.2
getrailo/railo,0.05,1000,similarity,0.514,0.5782,0.4956,-0.1773,5.8
getrailo/railo,0.05,1000,class,0.5202,0.5782,0.3812,-0.1623,13.3
getrailo/railo,0.05,1000,uniform,0.5028,0.5782,0.4719,-0.2035,12.4
getrailo/railo,0.05,2000,similarity,0.514,0.5782,0.4956,-0.1773,5.8
getrailo/railo,0.05,2000,class,0.5202,0.5782,0.3812,-0.1623,13.5
getrailo/railo,0.05,2000,uniform,0.5028,0.5782,0.4719,-0.2035,12.4
